,name,inchi,mult
236,C2CYCOOC-I1,"InChI=1S/C4H7O2/c1-4(2)3-5-6-4/h1,3H2,2H3",2
237,IC4H7O,"InChI=1S/C4H7O/c1-4(2)3-5/h1,3H2,2H3",2
238,CVCYCCOC,InChI=1S/C4H6O/c1-4-2-5-3-4/h1-3H2,1
239,CCYC2OCO,"InChI=1S/C4H7O2/c1-4(2-5)3-6-4/h2-3H2,1H3",2
240,CCYCCOOC-I2,"InChI=1S/C4H7O2/c1-4-2-5-6-3-4/h2,4H,3H2,1H3",2
241,CHOIC3H6O,"InChI=1S/C4H7O2/c1-4(2-5)3-6/h2,4H,3H2,1H3",2
242,IC3H5OOCH2,"InChI=1S/C4H7O2/c1-4(2)6-5-3/h1,3H2,2H3",2
243,CCYCCO-T1,"InChI=1S/C3H5O/c1-3-2-4-3/h2H2,1H3",2
244,IC4H8OH-IT,"InChI=1S/C4H9O/c1-4(2)3-5/h5H,3H2,1-2H3",2
245,IC4H8OH-TI,"InChI=1S/C4H9O/c1-4(2,3)5/h5H,1H2,2-3H3",2
246,IC4H7OH,"InChI=1S/C4H8O/c1-4(2)3-5/h5H,1,3H2,2H3",1
247,IC4H8OH,"InChI=1S/C4H9O/c1-4(2)3-5/h4-5H,1,3H2,2H3",2
248,IC4H6OH,"InChI=1S/C4H7O/c1-4(2)3-5/h3,5H,1H2,2H3",2
249,TQJC4H8OH,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5H,3H2,1-2H3",2
250,TQC4H8OI,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h6H,3H2,1-2H3",2
251,QC4H7OHP,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h5-6H,1,3H2,2H3",2
252,TQC4H7OHI,"InChI=1S/C4H9O3/c1-4(2,3-5)7-6/h3,5-6H,1-2H3",2
253,CCY(CCO)COH,"InChI=1S/C4H8O2/c1-4(2-5)3-6-4/h5H,2-3H2,1H3",1
254,C2CY(COC)OH,"InChI=1S/C4H8O2/c1-4(2)3(5)6-4/h3,5H,1-2H3",1
255,IQJC4H8OH,"InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5H,3H2,1-2H3",2
256,IC3H6OHCHO,"InChI=1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3",1
257,IQC4H8OT,"InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h6H,3H2,1-2H3",2
258,IQC4H7OHT,"InChI=1S/C4H9O3/c1-4(2,5)3-7-6/h5-6H,1,3H2,2H3",2
259,CCY(CCOC)OH,"InChI=1S/C4H8O2/c1-4(5)2-6-3-4/h5H,2-3H2,1H3",1
260,CH2COHCH2OOH,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2",1
261,TC3H6OH,"InChI=1S/C3H7O/c1-3(2)4/h4H,1-2H3",2
262,TQC4H7OHIO2,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5,7H,1-2H3",2
263,TQC4H7OHTO2,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-6H,1-2H3",2
264,TQC4H7OHIQ-I,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,6-7H,1-2H3",2
265,TQC4H7OHIQ-P,"InChI=1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-7H,1H2,2H3",2
266,IC3H5COHQ,"InChI=1S/C4H8O3/c1-3(2)4(5)7-6/h4-6H,1H2,2H3",1
267,CH2CQCOHQ,"InChI=1S/C3H6O5/c1-2(7-5)3(4)8-6/h3-6H,1H2",1
268,IC3H5Q,"InChI=1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3",1
269,COHQCYC(COC),"InChI=1S/C4H8O4/c1-4(2-7-4)3(5)8-6/h3,5-6H,2H2,1H3",1
270,QCYC(CCOC)OH,"InChI=1S/C4H8O4/c1-4(8-6)2-7-3(4)5/h3,5-6H,2H2,1H3",1
271,HOCOCQ(CH3)2,"InChI=1S/C4H8O4/c1-4(2,8-7)3(5)6/h7H,1-2H3,(H,5,6)",1
272,IQC4H7OHTO2,"InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-6H,2-3H2,1H3",2
273,IQC4H8OTQ-I,"InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h6-7H,2-3H2,1H3",2
274,IQC4H7OHTQ-P,"InChI=1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-7H,1-3H2",2
275,CHOC(CH3)OHCH2Q,"InChI=1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3",1
276,CO(CH2OOH)2,"InChI=1S/C3H6O5/c4-3(1-7-5)2-8-6/h5-6H,1-2H2",1
277,CH3COCHO,"InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3",1
278,IC3H5OCH2,"InChI=1S/C4H7O/c1-4(2)5-3/h1,3H2,2H3",2
279,IC4H7OOCH3,"InChI=1S/C5H10O2/c1-5(2)4-7-6-3/h1,4H2,2-3H3",1
280,IC4H7OOIC4H7,"InChI=1S/C8H14O2/c1-7(2)5-9-10-6-8(3)4/h1,3,5-6H2,2,4H3",1
281,C4H8-1,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",1
282,C4H8-2,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3",1
283,C4H71-1,"InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3",2
284,C4H71-2,"InChI=1S/C4H7/c1-3-4-2/h1,4H2,2H3",2
285,C4H71-3,"InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3",2
286,C4H71-4,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2",2
287,C4H72-2,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3",2
288,C4H71-O,"InChI=1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3",2
289,PC4H8OH-2,"InChI=1S/C4H9O/c1-2-3-4-5/h3,5H,2,4H2,1H3",2
